Chemical name,Brand name (from Health Canada),Strength,Dosage form,DIN/NPN,Manufacturer
clotrimazole,Canesten ComforTAB 3,200 mg,vaginal tablet,02150840,Bayer Inc.
clotrimazole,Canesten ComforTAB 1,500 mg,vaginal tablet,02150859,Bayer Inc.
clotrimazole,Canesten 1 day,10%,cream/appl,02150883,Bayer Inc.
clotrimazole,Canesten 6 day,1%,cream/appl,02150891,Bayer Inc.
clotrimazole,Canesten 3 day,2%,cream/appl,02150905,Bayer Inc.
clotrimazole combipak,"CANESTEN COMBI 3 DAY 
COMFORTAB + EXTERNAL CREAM",200 mg-1%,"vaginal tablet, kit, cream",02264099,Bayer Inc.
clotrimazole combipak,"CANESTEN COMBI 1 DAY 
COMFORTAB + EXTERNAL CREAM",500 mg-1%,"vaginal tablet, kit, cream",02264102,Bayer Inc.
coal tar,NEUTROGENA T/GEL THERAPEUTIC SHAMPOO,0.50%,shampoo,02240645,Johnson & Johnson Inc.
coal tar,TARGEL,10%,gel,00344508,Odan Laboratories Ltd.
coal tar,"ODANS LIQUOR CARBONIS 
DETERGENS",20%,solution,00358495,Odan Laboratories Ltd.
crotamiton,EURAX CREAM 10%,10%,cream,00623377,Columbia Laboratories Canada Inc.
cyanocobalamin,Cyanocobalamin Injection Usp,1000 mcg/mL,solution,02463393,Hikma Canada Ltd.
cyanocobalamin,Cyanocobalamin Injection Usp,1000 mcg/mL,solution,02465507,Hikma Canada Ltd.
desloratadine,AERIUS KIDS,0.5 mg/mL,syrup,02247193,Bayer Inc.
desloratadine,AERIUS,5 mg,tablet,02243919,Bayer Inc.
desloratadine,DESLORATADINE ALLERGY CONTROL,5 mg,tablet,02298155,Pharmascience Inc.
desloratadine,DESLORATADINE TABLETS,5 mg,tablet,02338424,Apotex Inc.
"dextran 70, hypromellose",TEARS NATURALE FREE,0.1%-0.3%,drops,01943308,Alcon Canada Inc.
"dextran 70, hypromellose",TEARS NATURALE II,0.1%-0.3%,drops,00743445,Alcon Canada Inc.
diclofenac diethylamine,VOLTAREN EMULGEL BACK & MUSCLE PAIN,1.16%,gel,02465035,GlaxoSmithKline
diclofenac diethylamine,VOLTAREN EMULGEL JOINT PAIN REGULAR STRENGTH,1.16%,gel,02338580,GlaxoSmithKline
diclofenac diethylamine,"VOLTAREN EMULGEL EXTRA 
STRENGTH",2.32%,gel,02393190,GlaxoSmithKline
diclofenac diethylamine,VOLTAREN EMULGEL JOINT PAIN EXTRA STRENGTH,2.32%,gel,02465043,GlaxoSmithKline
dimenhydrinate,"PMS-DIMENHYDRINATE SYR 
3MG/ML",3 mg/mL,syrup,00757705,Pharmascience Inc.
dimenhydrinate,KIDS GRAVOL LIQUID,15 mg/5 mL,liquid,00230197,Church & Dwight Canada Corp.
dimenhydrinate,KIDS GRAVOL SUPPOSITORIES,25 mg,supp rect,00783595,Church & Dwight Canada Corp.
dimenhydrinate,CONFAB DIMENHYDRINATE 50 MG,50 mg,supp rect,00392553,Laboratoires Confab Inc.
dimenhydrinate,JAMP-DIMENHYDRINATE,50 mg,tablet,02245416,Jamp Pharma Corp.
dimenhydrinate,APO DIMENHYDRINATE TAB 50MG,50 mg,tablet,00363766,Apotex Inc.
dimenhydrinate,DIMENHYDRINATE INJ 50MG USP,50 mg/mL,vial,00392537,Sandoz Canada Inc.
dimenhydrinate,Gravol Suppositories,100mg,supp. Rect,00013609,Church & Dwight Canada Corp.
dimethicone,NYDA,50%,liquid,02373785,G POHL-BOSKAMP GMBH + CO KG
dimethicone (silicone),BARRIERE CREAM 20%,20%,cream,02060841,"Wellspring 
Pharmaceutical Canada Corp."
diphenhydramine,BENADRYL ALLERGY LIQUID,12.5 mg/5 mL,liquid,02019736,"McNeil Consumer 
Healthcare"
diphenhydramine,diphenhydramine hydrochloride elixir,12.5 mg/5 mL,liquid,02298503,Jamp Pharma Corp.
diphenhydramine,Allergy elixir,12.5 mg/5 mL,liquid,00833266,Tanta Pharmaceuticals Inc.
diphenhydramine,diphenhydramine elixir 2.5mg/mL,12.5 mg/5 mL,liquid,00792705,Pharmascience Inc.
diphenhydramine,Allergy formula,25 mg,caplet/tablet,02229492,Vita Health Products Inc.
diphenhydramine,Allernix,25 mg,caplet/tablet,02097583,Teva Canada Ltd.
diphenhydramine,Benadryl Allergy,25 mg,caplet/tablet,02017849,"McNeil Consumer 
Healthcare"
diphenhydramine,PDP-diphenhydramine,25 mg,capsule,00757683,Pendopharm Inc.
diphenhydramine,ALLERGY TABLETS 25MG,25 mg,tablet,01949454,Tanta Pharmaceuticals Inc.
diphenhydramine,JAMP DIPHENHYDRAMINE 25 MG,25 mg,tablet,02257548,Jamp Pharma Corp.
diphenhydramine,ALLERNIX EXTRA STRENGTH,50 mg,caplet,02097575,Teva Canada Ltd.
diphenhydramine,PDP-DIPHENHYDRAMINE EXTRA STRENGTH/ EXTRA FORT,50 mg,capsule,00757691,Pendopharm Inc.
diphenhydramine,JAMP DIPHENHYDRAMINE 50 MG,50 mg,tablet,02257556,Jamp Pharma Corp.
diphenhydramine,"DIPHENHYDRAMINE 
HYDROCHLORIDE INJECTION USP",50 mg/mL,liquid,00596612,Sandoz Canada Inc.
diphenhydramine,DIPHENIST 50MG/ML,50 mg/mL,liquid,02219336,Omega Laboratories Ltd.
diphenhydramine,CHILDREN'S BENADRYL ALLERGY LIQUID,6.25 mg/5 mL,liquid,02019698,"McNeil Consumer 
Healthcare"
electrolyte solution/peg's,PEGLYTE POWDER,238.18 g - 22.96 g,powder,00777838,Pendopharm Inc.
electrolyte solution/peg's,COLYTE,"857.69 mg/g - 
81.2 mg/g",powder,00677442,Pendopharm Inc.
electrolytes,"PEDIATRIC ELECTROLYTE SOLUTION - UNFLAVOURED; PEDIATRIC 
ELECTROLYTE","30 mEq/L - 45 
mEq/L",solution,02219883,"Pharmascience Inc. / Pendopharms, Division of Pharmascience Inc."
electrolytes,"HYDRALYTE ELECTROLYTE 
MAINTENANCE POWDER; 
ELECTROLYTE MAINTENANCE POWDER","321.5 mg/200 
mL - 208 
mg/200 mL",powder,80026860,"Hydration 
Pharmaceutical Trust"
electrolytes,"HYDRALYTE ELECTROLYTE 
MAINTENANCE SOLUTION","5.61 mg/mL 
1.06 mg/mL",solution,80026861,"Hydration 
Pharmaceutical Trust"
electrolytes/dextrose,"PEDIALYTE® UNFLAVOURED; 
PEDIALYTE® FREEZER POPS; 
PEDIALYTE® FRUIT FLAVOUR; PEDIALYTE® GRAPE FLAVOUR",1.244 g/L - 1.037 g/L,liquid,00630365,Abbott Laboratories Co.
